fold,train_rows,test_rows,test_spatial_blocks,mae_try_m,rmse_try_m,r2,mape
1,256,64,7,2.309484075445411,3.239854465647407,0.9880936301502001,0.01520366631377029
2,256,64,6,3.6602606341414687,5.596324065269324,0.9681866250173402,0.026619371788729373
3,256,64,6,3.4236818519001107,5.421586874087266,0.9603073864585564,0.023145976678473637
4,256,64,7,4.9802106418012775,7.390353982470538,0.9357756958731198,0.03258148970546293
5,256,64,7,4.719069620487731,6.202038602214789,0.9649630102301241,0.03487340292866166
