scenario,solver_status,selected_store_count,selected_candidate_ids,budget_try_m,budget_used_try_m,budget_utilization,incremental_covered_population,market_coverage_rate,portfolio_sales_try_m,portfolio_expected_ebit_try_m,objective_value
optimistic,Optimal,6,"C24,C18,C17,C07,C03,C15",150.0,135.78255,0.9052169999999999,2068792,0.2783482040918211,1256.3496999999998,81.52048849999996,137.2916115
base,Optimal,4,"C24,C18,C17,C07",110.0,93.382,0.8489272727272728,1329291,0.23124638257544514,732.554,28.82556999999999,65.78802099999997
pessimistic,Optimal,3,"C24,C18,C05",75.0,74.47330000000001,0.9929773333333335,908890,0.20446933580024676,466.55054999999993,-2.0712372500000242,23.927792749999963
